Balearica regulorum gibbericeps
Eurypyga helias
Falco cherrug
Falco peregrinus
Aquila chrysaetos
Haliaeetus albicilla
Haliaeetus leucocephalus
Phaethon lepturus
Pelecanus crispus
Egretta garzetta
Phalacrocorax carbo
Nipponia nippon
Anser cygnoides
Anas platyrhynchos
Numida meleagris
Meleagris gallopavo
Coturnix japonica
Gallus gallus
Geospiza fortis
Acanthisitta chloris
Ficedula albicollis
Zonotrichia albicollis
Sturnus vulgaris
Corvus brachyrhynchos
Corvus cornix cornix
Manacus vitellinus
Lepidothrix coronata
Serinus canaria
Lonchura striata
Taeniopygia guttata
Cyanistes caeruleus
Parus major
Pseudopodoces humilis
Ornithorhynchus anatinus
Sarcophilus harrisii
Phascolarctos cinereus
Monodelphis domestica
Dasypus novemcinctus
Elephantulus edwardii
Loxodonta africana
Trichechus manatus
Chrysochloris asiatica
Orycteropus afer
Echinops telfairi
Galeopterus variegatus
Tupaia chinensis
Ochotona princeps
Oryctolagus cuniculus
Castor canadensis
Dipodomys ordii
Marmota marmota marmota
Ictidomys tridecemlineatus
Cavia porcellus
Octodon degus
Chinchilla lanigera
Heterocephalus glaber
Fukomys damarensis
Jaculus jaculus
Nannospalax galili
Microtus ochrogaster
Peromyscus maniculatus bairdii
Cricetulus griseus
Mesocricetus auratus
Meriones unguiculatus
Rattus norvegicus
Mus pahari
Mus musculus
Mus caroli
Otolemur garnettii
Microcebus murinus
Propithecus coquereli
Carlito syrichta
Aotus nancymaae
Saimiri boliviensis boliviensis
Callithrix jacchus
Cebus capucinus imitator
Nomascus leucogenys
Pongo abelii
Gorilla gorilla gorilla
Homo sapiens
Pan paniscus
Pan troglodytes
Piliocolobus tephrosceles
Colobus angolensis palliatus
Rhinopithecus bieti
Rhinopithecus roxellana
Mandrillus leucophaeus
Papio anubis
Cercocebus atys
Chlorocebus sabaeus
Macaca nemestrina
Macaca fascicularis
Macaca mulatta
Manis javanica
Sorex araneus
Erinaceus europaeus
Condylura cristata
Ceratotherium simum
Equus asinus
Equus caballus
Equus przewalskii
Rousettus aegyptiacus
Pteropus vampyrus
Pteropus alecto
Hipposideros armiger
Rhinolophus sinicus
Eptesicus fuscus
Miniopterus natalensis
Myotis lucifugus
Myotis davidii
Myotis brandtii
Felis catus
Acinonyx jubatus
Panthera pardus
Panthera tigris
Canis lupus familiaris
Odobenus rosmarus divergens
Neomonachus schauinslandi
Leptonychotes weddellii
Ailuropoda melanoleuca
Ursus maritimus
Mustela putorius
Enhydra lutris
Sus scrofa
Vicugna pacos
Camelus ferus
Camelus bactrianus
Camelus dromedarius
Balaenoptera acutorostrata
Delphinapterus leucas
Lipotes vexillifer
Physeter catodon
Orcinus orca
Tursiops truncatus
Odocoileus virginianus
Pantholops hodgsonii
Capra hircus
Ovis aries musimon
Bubalus bubalis
Bison bison
Bos grunniens
Bos indicus
Bos taurus
