name,taxid
Setaria italica,4555
Panicum hallii,206008
Dichanthelium oligosanthes,888268
Oryza sativa Japonica Group,39947
Oryza brachyantha,4533
Brachypodium distachyon,15368
Aegilops tauschii,37682
Triticum urartu,4572
Triticum aestivum,4565
Beta vulgaris subsp. vulgaris,3555
Spinacia oleracea,3562
Chenopodium quinoa,63459
Daucus carota,4039
Helianthus annuus,4232
Lactuca sativa,4236
Olea europaea subsp. europaea,158383
Genlisea aurea,192259
Sesamum indicum,4182
Dorcoceras hygrometricum,472368
Handroanthus impetiginosus,429701
Erythranthe guttata,4155
Ipomoea nil,35883
Petunia axillaris,33119
Solanum tuberosum,4113
Solanum lycopersicum,4081
Capsicum annuum,4072
Capsicum chinense,80379
Nicotiana attenuata,49451
Nicotiana tomentosiformis,4098
Nicotiana benthamiana,4100
Nicotiana obtusifolia,200316
Nicotiana tabacum,4097
Vitis vinifera,29760
Citrus sinensis,2711
Punica granatum,22663
Eucalyptus grandis,71139
Theobroma cacao,3641
Durio zibethinus,66656
Corchorus capsularis,210143
Corchorus olitorius,93759
Gossypium raimondii,29730
Gossypium arboreum,29729
Carica papaya,3649
Tarenaya hassleriana,28532
Arabis alpina,50452
Eutrema salsugineum,72664
Raphanus sativus,3726
Brassica rapa,3711
Camelina sativa,90675
Capsella rubella,81985
Arabidopsis thaliana,3702
Arabidopsis lyrata subsp. lyrata,81972
Cephalotus follicularis,3775
Quercus suber,58331
Juglans regia,51240
Momordica charantia,3673
Cucurbita maxima,3661
Cucumis melo,3656
Populus euphratica,75702
Ricinus communis,3988
Jatropha curcas,180498
Manihot esculenta,3983
Hevea brasiliensis,3981
Ziziphus jujuba,326968
Parasponia andersonii,3476
Morus notabilis,981085
Rosa chinensis,74649
Fragaria vesca subsp. vesca,101020
Prunus persica,3760
Pyrus x bretschneideri,225117
Malus domestica,3750
Lupinus angustifolius,3871
Arachis duranensis,130453
Vigna angularis,3914
Glycine max,3847
Cajanus cajan,3821
Phaseolus vulgaris,3885
Cicer arietinum,3827
Medicago truncatula,3880
Trifolium subterraneum,3900
Trifolium pratense,57577
Fonticula alba,691883
Monosiga brevicollis MX1,431895
Salpingoeca rosetta,946362
Capsaspora owczarzaki ATCC 30864,595528
Sphaeroforma arctica JP610,667725
Amphimedon queenslandica,400682
Trichoplax adhaerens,10228
Hydra vulgaris,6087
Exaiptasia pallida,1720309
Nematostella vectensis,45351
Orbicella faveolata,48498
Acropora digitifera,70779
Stylophora pistillata,50429
Echinococcus granulosus,6210
Opisthorchis viverrini,6198
Schistosoma haematobium,6185
Schistosoma mansoni,6183
Helobdella robusta,6412
Lingula anatina,7574
Octopus bimaculoides,37653
Mizuhopecten yessoensis,6573
Crassostrea virginica,6565
Crassostrea gigas,29159
Lottia gigantea,225164
Biomphalaria glabrata,6526
Aplysia californica,6500
Priapulus caudatus,37621
Trichinella spiralis,6334
Necator americanus,51031
Brugia malayi,6279
Loa loa,7209
Caenorhabditis remanei,31234
Caenorhabditis briggsae,6238
Caenorhabditis elegans,6239
Limulus polyphemus,6850
Centruroides sculpturatus,218467
Stegodyphus mimosarum,407821
Parasteatoda tepidariorum,114398
Tetranychus urticae,32264
Sarcoptes scabiei,52283
Euroglyphus maynei,6958
Ixodes scapularis,6945
Galendromus occidentalis,34638
Tropilaelaps mercedesae,418985
Varroa jacobsoni,62625
Strigamia maritima,126957
Daphnia pulex,6669
Daphnia magna,35525
Hyalella azteca,294128
Eurytemora affinis,88015
Lepeophtheirus salmonis,72036
Tigriopus californicus,6832
Orchesella cincta,48709
Folsomia candida,158441
Catajapyx aquilonaris,438503
Campodea augens,438502
Ephemera danica,1049336
Ladona fulva,123851
Calopteryx splendens,52612
Galloisiana yuasai,378494
Locusta migratoria,7004
Blattella germanica,6973
Zootermopsis nevadensis,136037
Pediculus humanus,121225
Frankliniella occidentalis,133901
Homalodisca vitripennis,197043
Nilaparvata lugens,108931
Gerris buenoi,56086
Cimex lectularius,79782
Rhodnius prolixus,13249
Halyomorpha halys,286706
Oncopeltus fasciatus,7536
Bemisia tabaci,7038
Pachypsylla venusta,38123
Diaphorina citri,121845
Rhopalosiphum padi,40932
Aphis glycines,307491
Acyrthosiphon pisum,7029
Diuraphis noxia,143948
Myzus persicae,13164
Myzus cerasi,93721
Mengenilla moldrzyki,1155016
Nicrophorus vespilloides,110193
Agrilus planipennis,224129
Oryctes borbonicus,1629725
Onthophagus taurus,166361
Tribolium castaneum,7070
Dendroctonus ponderosae,77166
Aethina tumida,116153
Leptinotarsa decemlineata,7539
Anoplophora glabripennis,217634
Limnephilus lunatus,1218281
Plutella xylostella,51655
Operophtera brumata,104452
Helicoverpa armigera,29058
Spodoptera litura,69820
Chilo suppressalis,168631
Amyelois transitella,680683
Manduca sexta,7130
Bombyx mori,7091
Pieris rapae,64459
Papilio glaucus,45779
Papilio polytes,76194
Papilio xuthus,66420
Danaus plexippus,13037
Melitaea cinxia,113334
Heliconius melpomene,34740
Heliconius erato lativitta,246812
Orussus abietinus,222816
Cephus cinctus,211228
Athalia rosae,37344
Neodiprion lecontei,441921
Microplitis demolitor,69319
Macrocentrus cingulum,535359
Fopius arisanus,64838
Diachasma alloeum,454923
Copidosoma floridanum,29053
Nasonia vitripennis,7425
Ceratosolen solmsi marchali,326594
Trichogramma pretiosum,7493
Polistes canadensis,91411
Megachile rotundata,143995
Dufourea novaeangliae,178035
Lasioglossum albipes,88501
Habropoda laboriosa,597456
Apis mellifera,7460
Melipona quadrifasciata,166423
Ceratina calcarata,156304
Bombus impatiens,132113
Euglossa dilemma,1507135
Eufriesea mexicana,516756
Linepithema humile,83485
Ooceraea biroi,2015173
Pseudomyrmex gracilis,219809
Harpegnathos saltator,610380
Dinoponera quadriceps,609295
Camponotus floridanus,104421
Lasius niger,67767
Wasmannia auropunctata,64793
Pogonomyrmex barbatus,144034
Cardiocondyla obscurior,286306
Vollenhovia emeryi,411798
Solenopsis invicta,13686
Monomorium pharaonis,307658
Cyphomyrmex costatus,456900
Trachymyrmex septentrionalis,34720
Acromyrmex echinatior,103372
Atta colombica,520822
Lutzomyia longipalpis,7200
Phlebotomus papatasi,29031
Belgica antarctica,315563
Clunio marinus,568069
Polypedilum nubifer,54969
Polypedilum vanderplanki,319348
Culex quinquefasciatus,7176
Aedes albopictus,7160
Aedes aegypti,7159
Anopheles darlingi,43151
Anopheles albimanus,7167
Anopheles sinensis,74873
Anopheles atroparvus,41427
Anopheles farauti,69004
Anopheles dirus,7168
Anopheles maculatus,74869
Anopheles stephensi,30069
Anopheles epiroticus,199890
Anopheles christyi,43041
Anopheles gambiae,7165
Anopheles funestus,62324
Anopheles minimus,112268
Anopheles culicifacies,139723
Lucilia cuprina,7375
Musca domestica,7370
Stomoxys calcitrans,35570
Glossina brevipalpis,37001
Glossina palpalis,7397
Glossina morsitans,7394
Glossina austeni,7395
Rhagoletis zephyria,28612
Ceratitis capitata,7213
Zeugodacus cucurbitae,28588
Bactrocera latifrons,174628
Bactrocera oleae,104688
Drosophila busckii,30019
Drosophila grimshawi,7222
Drosophila virilis,7244
Drosophila mojavensis,7230
Drosophila hydei,7224
Drosophila willistoni,7260
Drosophila obscura,7282
Drosophila pseudoobscura,7237
Drosophila eugracilis,29029
Drosophila serrata,7274
Drosophila takahashii,29030
Drosophila biarmipes,125945
Drosophila rhopaloa,1041015
Drosophila elegans,30023
Drosophila ficusphila,30025
Drosophila bipectinata,42026
Drosophila ananassae,7217
Drosophila melanogaster,7227
Drosophila yakuba,7245
Drosophila erecta,7220
Saccoglossus kowalevskii,10224
Acanthaster planci,133434
Strongylocentrotus purpuratus,7668
Ciona intestinalis,7719
Branchiostoma floridae,7739
Branchiostoma belcheri,7741
Callorhinchus milii,7868
Rhincodon typus,259920
Lepisosteus oculatus,7918
Paramormyrops kingsleyae,1676925
Scleropages formosus,113540
Clupea harengus,7950
Ictalurus punctatus,7998
Astyanax mexicanus,7994
Pygocentrus nattereri,42514
Danio rerio,7955
Cyprinus carpio,7962
Sinocyclocheilus rhinocerous,307959
Sinocyclocheilus anshuiensis,1608454
Sinocyclocheilus grahami,75366
Esox lucius,8010
Salvelinus alpinus,8036
Salmo salar,8030
Oncorhynchus mykiss,8022
Oncorhynchus tshawytscha,74940
Oncorhynchus kisutch,8019
Monopterus albus,43700
Boleophthalmus pectinirostris,150288
Hippocampus comes,109280
Labrus bergylta,56723
Takifugu rubripes,31033
Notothenia coriiceps,8208
Larimichthys crocea,215358
Lates calcarifer,8187
Paralichthys olivaceus,8255
Cynoglossus semilaevis,244447
Seriola dumerili,41447
Seriola lalandi,302047
Amphiprion ocellaris,80972
Stegastes partitus,144197
Acanthochromis polyacanthus,80966
Neolamprologus brichardi,32507
Oreochromis niloticus,8128
Haplochromis burtoni,8153
Maylandia zebra,106582
Pundamilia nyererei,303518
Oryzias melastigma,30732
Oryzias latipes,8090
Nothobranchius furzeri,105023
Austrofundulus limnaeus,52670
Kryptolebias marmoratus,37003
Fundulus heteroclitus,8078
Cyprinodon variegatus,28743
Xiphophorus maculatus,8083
Poecilia mexicana,48701
Poecilia formosa,48698
Poecilia reticulata,8081
Poecilia latipinna,48699
Latimeria chalumnae,7897
Nanorana parkeri,125878
Xenopus laevis,8355
Xenopus tropicalis,8364
Gekko japonicus,146911
Anolis carolinensis,28377
Pogona vitticeps,103695
Python bivittatus,176946
Thamnophis sirtalis,35019
Protobothrops mucrosquamatus,103944
Pelodiscus sinensis,13735
Chelonia mydas,8469
Chrysemys picta bellii,8478
Gavialis gangeticus,94835
Crocodylus porosus,8502
Alligator mississippiensis,8496
Alligator sinensis,38654
Tinamus guttatus,94827
Struthio camelus,8801
Tauraco erythrolophus,121530
Gavia stellata,37040
Picoides pubescens,118200
Apaloderma vittatum,57397
Pterocles gutturalis,240206
Opisthocomus hoazin,30419
Tyto alba,56313
Fulmarus glacialis,30455
Columba livia,8932
Buceros rhinoceros silvestris,175836
Colius striatus,57412
Cariama cristata,54380
Cuculus canorus,55661
Nestor notabilis,176057
Melopsittacus undulatus,13146
Merops nubicus,57421
Leptosomus discolor,188344
Pygoscelis adeliae,9238
Aptenodytes forsteri,9233
Calidris pugnax,198806
Charadrius vociferus,50402
Falco cherrug,345164
Falco peregrinus,8954
Antrostomus carolinensis,279965
Chaetura pelagica,8897
Calypte anna,9244
Aquila chrysaetos,8962
Haliaeetus albicilla,8969
Haliaeetus leucocephalus,52644
Balearica regulorum gibbericeps,100784
Chlamydotis macqueenii,187382
Mesitornis unicolor,54374
Eurypyga helias,54383
Phalacrocorax carbo,9209
Egretta garzetta,188379
Pelecanus crispus,36300
Nipponia nippon,128390
Phaethon lepturus,97097
Anser cygnoides,8845
Anas platyrhynchos,8839
Numida meleagris,8996
Gallus gallus,9031
Meleagris gallopavo,9103
Coturnix japonica,93934
Ficedula albicollis,59894
Sturnus vulgaris,9172
Acanthisitta chloris,57068
Geospiza fortis,48883
Zonotrichia albicollis,44394
Manacus vitellinus,328815
Lepidothrix coronata,321398
Corvus brachyrhynchos,85066
Corvus cornix cornix,932674
Serinus canaria,9135
Lonchura striata,40157
Taeniopygia guttata,59729
Parus major,9157
Pseudopodoces humilis,181119
Cyanistes caeruleus,156563
Ornithorhynchus anatinus,9258
Monodelphis domestica,13616
Sarcophilus harrisii,9305
Phascolarctos cinereus,38626
Dasypus novemcinctus,9361
Loxodonta africana,9785
Elephantulus edwardii,28737
Echinops telfairi,9371
Orycteropus afer,9818
Chrysochloris asiatica,185453
Trichechus manatus,9778
Galeopterus variegatus,482537
Tupaia chinensis,246437
Oryctolagus cuniculus,9986
Ochotona princeps,9978
Ictidomys tridecemlineatus,43179
Marmota marmota marmota,9994
Dipodomys ordii,10020
Castor canadensis,51338
Octodon degus,10160
Chinchilla lanigera,34839
Cavia porcellus,10141
Heterocephalus glaber,10181
Fukomys damarensis,885580
Jaculus jaculus,51337
Nannospalax galili,1026970
Peromyscus maniculatus bairdii,230844
Microtus ochrogaster,79684
Cricetulus griseus,10029
Mesocricetus auratus,10036
Meriones unguiculatus,10047
Rattus norvegicus,10116
Mus caroli,10089
Mus musculus,10090
Otolemur garnettii,30611
Propithecus coquereli,379532
Microcebus murinus,30608
Carlito syrichta,1868482
Aotus nancymaae,37293
Callithrix jacchus,9483
Cebus capucinus imitator,1737458
Saimiri boliviensis boliviensis,39432
Nomascus leucogenys,61853
Pongo abelii,9601
Homo sapiens,9606
Gorilla gorilla gorilla,9595
Pan troglodytes,9598
Pan paniscus,9597
Piliocolobus tephrosceles,591936
Colobus angolensis palliatus,336983
Rhinopithecus bieti,61621
Rhinopithecus roxellana,61622
Papio anubis,9555
Cercocebus atys,9531
Mandrillus leucophaeus,9568
Chlorocebus sabaeus,60711
Macaca fascicularis,9541
Macaca mulatta,9544
Macaca nemestrina,9545
Manis javanica,9974
Erinaceus europaeus,9365
Sorex araneus,42254
Condylura cristata,143302
Ceratotherium simum,9807
Equus asinus,9793
Equus przewalskii,9798
Equus caballus,9796
Rousettus aegyptiacus,9407
Pteropus vampyrus,132908
Pteropus alecto,9402
Hipposideros armiger,186990
Rhinolophus sinicus,89399
Eptesicus fuscus,29078
Miniopterus natalensis,291302
Myotis davidii,225400
Myotis brandtii,109478
Myotis lucifugus,59463
Felis catus,9685
Acinonyx jubatus,32536
Panthera tigris,9694
Panthera pardus,9691
Canis lupus familiaris,9615
Odobenus rosmarus divergens,9708
Ursus maritimus,29073
Ailuropoda melanoleuca,9646
Enhydra lutris,34882
Mustela putorius,9668
Neomonachus schauinslandi,29088
Leptonychotes weddellii,9713
Sus scrofa,9823
Vicugna pacos,30538
Camelus bactrianus,9837
Camelus dromedarius,9838
Camelus ferus,419612
Balaenoptera acutorostrata,9767
Lipotes vexillifer,118797
Delphinapterus leucas,9749
Physeter catodon,9755
Orcinus orca,9733
Tursiops truncatus,9739
Odocoileus virginianus,9874
Pantholops hodgsonii,59538
Ovis aries musimon,9938
Capra hircus,9925
Bubalus bubalis,89462
Bison bison,9901
Bos indicus,9915
Bos taurus,9913
Bos grunniens,30521
Rozella allomycis CSF55,988480
Allomyces macrogynus ATCC 38327,578462
Conidiobolus coronatus NRRL 28638,796925
Basidiobolus meristosporus CBS 931.73,1314790
Linderina pennispora,61395
Coemansia reversa NRRL 1564,763665
Gonapodya prolifera JEL478,1344416
Neocallimastix californiae,1754190
Piromyces finnis,1754191
Anaeromyces robustus,1754192
Rhizoclosmatium globosum,329046
Batrachochytrium dendrobatidis JAM81,684364
Batrachochytrium salamandrivorans,1357716
Vavraia culicis subsp. floridensis,948595
Ordospora colligata OC4,1354746
Nematocida displodere,1805483
Nematocida parisii ERTm1,881290
Nematocida sp. 1 ERTm6,1138374
Nematocida sp. ERTm5,1805481
Nosema ceranae,40302
Encephalitozoon romaleae SJ-2008,1178016
Encephalitozoon hellem ATCC 50504,907965
Encephalitozoon intestinalis ATCC 50506,876142
Lobosporangium transversale,64571
Mortierella elongata AG-77,1314771
Syncephalastrum racemosum,13706
Lichtheimia ramosa,688394
Absidia glauca,4829
Choanephora cucurbitarum,101091
Rhizopus delemar RA 99-880,246409
Rhizopus microsporus ATCC 52813,1340429
Parasitella parasitica,35722
Mucor ambiguus,91626
Wallemia ichthyophaga EXF-994,1299270
Wallemia mellicola CBS 633.66,671144
Malassezia pachydermatis,77020
Malassezia globosa CBS 7966,425265
Malassezia sympodialis ATCC 42132,1230383
Ceraceosorus bombacis,401625
Tilletiaria anomala UBC 951,1037660
Tilletia walkeri,117179
Tilletia caries,13290
Pseudozyma hubeiensis SY62,1305764
Moesziomyces antarcticus T-34,1151754
Ustilago hordei,120017
Ustilago maydis 521,237631
Sporisorium scitamineum,49012
Sporisorium reilianum SRZ2,999809
Mixia osmundae IAM 14324,764103
Melampsora larici-populina 98AG31,747676
Puccinia coronata var. avenae f. sp. avenae,200324
Puccinia sorghi,27349
Puccinia triticina 1-1 BBBD Race 1,630390
Puccinia graminis f. sp. tritici CRL 75-36-700-3,418459
Leucosporidium creatinivorum,106004
Microbotryum intermedium,269621
Sporidiobolus salmonicolor,5005
Rhodotorula taiwanensis,741276
Rhodotorula sp. JG-1b,1305733
Dacryopinax primogenitus,1858805
Calocera viscosa TUFC12733,1330018
Calocera cornea HHB12733,1353952
Trichosporon asahii var. asahii CBS 8904,1220162
Cutaneotrichosporon oleaginosum,879819
Kockovaella imperatae,4999
Naematelia encephala,71784
Tremella mesenterica DSM 1558,578456
Kwoniella mangroviensis CBS 8886,1296123
Kwoniella bestiolae CBS 10118,1296100
Kwoniella heveanensis CBS 569,1296119
Kwoniella dejecticola CBS 10117,1296121
Cryptococcus amylolentus CBS 6273,1296118
Cryptococcus depauperatus CBS 7841,1295531
Cryptococcus neoformans var. neoformans JEC21,214684
Cryptococcus gattii CA1280,1296109
Cryptococcus gattii VGII CBS 10090,1296101
Sphaerobolus stellatus SS14,990650
Sistotremastrum niveocremeum HHB9708,1314777
Gloeophyllum trabeum ATCC 11539,670483
Auricularia subglabra TFB-10046 SS5,717982
Serendipita indica DSM 11827,1109443
Serendipita vermifera MAFF 305830,933852
Tulasnella calospora MUT 4182,1051891
Rhizoctonia solani 123E,1423351
Schizopora paradoxa,27342
Fomitiporia mediterranea MF3/22,694068
Sanghuangporus baumii,108892
Peniophora sp. CONT,1314672
Fibroporia radiculosa,599839
Grifola frondosa,5627
Daedalea quercina L-15889,1314783
Phanerochaete carnosa HHB-10118-sp,650164
Laetiporus sulphureus 93-53,1314785
Obba rivulosa,1052685
Gelatoporia subvermispora B,914234
Ganoderma sinense ZZ0214-1,1077348
Trametes coccinea BRFM310,1353009
Trametes cinnabarina,5643
Trametes pubescens,154538
Jaapia argillacea MUCL 33604,933084
Plicaturopsis crispa FD-325 SS-3,944288
Piloderma croceum F 1598,765440
Fibularhizoctonia sp. CBS 109695,436010
Serpula lacrymans var. lacrymans S7.3,936435
Coniophora puteana RWD-64-598 SS2,741705
Scleroderma citrinum Foug A,1036808
Pisolithus tinctorius Marx 270,870435
Pisolithus microcarpus 441,765257
Suillus luteus UH-Slu-Lm8-n1,930992
Rhizopogon vesiculosus,180088
Hydnomerulius pinastri MD-312,994086
Paxillus involutus ATCC 200175,664439
Paxillus rubicundulus Ve08.2h10,930991
Panaeolus cyanescens,181874
Schizophyllum commune H4-8,578458
Pleurotus ostreatus PC15,1137138
Coprinopsis cinerea okayama7#130,240176
Fistulina hepatica ATCC 64428,1128425
Moniliophthora roreri MCA 2997,1381753
Hebeloma cylindrosporum h7,686832
Gymnopilus dilepis,231916
Laccaria amethystina LaAM-08-1,1095629
Laccaria bicolor S238N-H82,486041
Lentinula edodes,5353
Hypsizygus marmoreus,39966
Agaricus bisporus var. burnettii JB137-S8,597362
Leucoagaricus sp. SymC.cos,1714833
Amanita muscaria Koide BX008,946122
Amanita thiersii Skay4041,703135
Psilocybe cyanescens,93625
Galerina marginata CBS 339.88,685588
Hypholoma sublateritium FD-334 SS-4,945553
Armillaria ostoyae,47428
Armillaria gallica,47427
Armillaria solidipes,1076256
Saitoella complicata NRRL Y-17804,698492
Protomyces lactucaedebilis,56484
Neolecta irregularis DAH-3,1198029
Schizosaccharomyces cryophilus OY26,653667
Schizosaccharomyces japonicus yFS275,402676
Schizosaccharomyces octosporus yFS286,483514
Ascoidea rubescens DSM 1968,1344418
Tortispora caseinolytica NRRL Y-17796,767744
Yarrowia lipolytica,4952
Lipomyces starkeyi NRRL Y-11557,675824
Wickerhamiella sorbophila,45607
Nadsonia fulvescens var. elongata DSM 6958,857566
Kuraishia capsulata CBS 1993,1382522
Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993,869754
Clavispora lusitaniae,36911
Ogataea parapolymorpha DL-1,871575
Pichia kudriavzevii,4909
Pichia membranifaciens NRRL Y-2026,763406
Hanseniaspora uvarum,29833
Hanseniaspora opuntiae,211096
Hanseniaspora guilliermondii,56406
Hanseniaspora valbyensis NRRL Y-1626,766949
Hanseniaspora osmophila,56408
Komagataella pastoris,4922
Komagataella phaffii CBS 7435,981350
Cyberlindnera jadinii NRRL Y-1542,983966
Cyberlindnera fabianii,36022
Wickerhamomyces anomalus NRRL Y-366-8,683960
Wickerhamomyces ciferrii,1041607
Scheffersomyces stipitis CBS 6054,322104
Meyerozyma guilliermondii ATCC 6260,294746
Spathaspora passalidarum NRRL Y-27907,619300
Hyphopichia burtonii NRRL Y-1933,984485
Suhomyces tanzawaensis NRRL Y-17324,984487
Babjeviella inositovora NRRL Y-12698,984486
Debaryomyces fabryi,58627
Debaryomyces hansenii CBS767,284592
Lodderomyces elongisporus NRRL YB-4239,379508
Candida maltosa Xu316,1245528
Candida dubliniensis CD36,573826
Candida parapsilosis,5480
Candida tropicalis MYA-3404,294747
Candida orthopsilosis Co 90-125,1136231
Candida albicans SC5314,237561
Torulaspora delbrueckii,4950
Vanderwaltozyma polyspora DSM 70294,436907
Pachysolen tannophilus NRRL Y-2460,669874
Saccharomycetaceae sp. 'Ashbya aceri',566037
Saccharomyces cerevisiae YJM1573,1294385
Saccharomyces eubayanus,1080349
Zygosaccharomyces parabailii,1365886
Zygosaccharomyces rouxii,4956
Tetrapisispora blattae CBS 6284,1071380
Tetrapisispora phaffii CBS 4417,1071381
Naumovozyma castellii CBS 4309,1064592
Naumovozyma dairenensis CBS 421,1071378
Kluyveromyces lactis,28985
Kluyveromyces dobzhanskii CBS 2104,1427455
Kluyveromyces marxianus DMKU3-1042,1003335
Eremothecium sinecaudum,45286
Eremothecium cymbalariae DBVPG#7215,931890
Eremothecium gossypii FDAG1,1034331
Kazachstania africana CBS 2517,1071382
Kazachstania naganishii CBS 8797,1071383
Kazachstania saulgeensis,1789683
Lachancea thermotolerans CBS 6340,559295
Lachancea meyersii CBS 8951,1266667
Lachancea mirantina,1230905
Lachancea fermentati,4955
Lachancea lanzarotensis,1245769
Lachancea dasiensis CBS 10888,1266660
Lachancea nothofagi CBS 11611,1266666
Lachancea quebecensis,1654605
Tuber melanosporum,39416
Pyronema omphalodes CBS 100304,1076935
Dactylellina haptotyla CBS 200.50,1284197
Arthrobotrys oligospora ATCC 24927,756982
Xylona heveae TC161,1328760
Verruconis gallopava,253628
Coniosporium apollinis CBS 100218,1168221
Macrophomina phaseolina MS6,1126212
Neofusicoccum parvum UCRNP2,1287680
Diplodia seriata,420778
Diplodia corticola,236234
Aureobasidium subglaciale EXF-2481,1043005
Aureobasidium namibiae CBS 147.97,1043004
Aureobasidium pullulans EXF-150,1043002
Aureobasidium melanogenum CBS 110374,1043003
Rachicladosporium antarcticum,1507870
Acidomyces richmondensis,245562
Hortaea werneckii EXF-2000,1157616
Ramularia collo-cygni,112498
Pseudocercospora fijiensis CIRAD86,383855
Zymoseptoria brevis,1047168
Cercospora berteroae,357750
Cercospora beticola,122368
Cercospora zeina,348901
Lepidopterella palustris CBS 459.81,1314670
Cenococcum geophilum 1.58,794803
Glonium stellatum,574774
