Organisms,ASB14,ATP1B1,AXDND1,SMPDL3A,BLK,ANP32A
Tupaia chinensis,2,1,1,2,2,2
Galeopterus variegatus,2,1,1,2,2,2
Ochotona princeps,2,1,1,2,2,2
Oryctolagus cuniculus,2,1,1,2,2,2
Ictidomys tridecemlineatus,2,1,1,2,2,2
Marmota marmota marmota,2,1,1,2,2,2
Castor canadensis,2,1,1,2,2,2
Dipodomys ordii,2,1,1,2,2,2
Chinchilla lanigera,2,1,1,2,2,3
Cavia porcellus,2,1,1,2,2,2
Octodon degus,2,1,1,2,2,4
Fukomys damarensis,2,1,1,2,2,2
Heterocephalus glaber,2,1,4,2,2,2
Jaculus jaculus,2,1,1,2,2,2
Nannospalax galili,2,1,1,2,2,2
Peromyscus maniculatus bairdii,2,1,1,2,2,2
Microtus ochrogaster,2,1,1,2,2,3
Cricetulus griseus,2,1,1,2,2,2
Mesocricetus auratus,2,1,1,2,2,2
Meriones unguiculatus,2,1,1,3,2,2
Rattus norvegicus,2,1,1,2,2,4
Mus pahari,2,1,1,2,2,3
Mus caroli,2,1,1,2,2,3
Mus musculus,3,1,1,2,2,3
Otolemur garnettii,2,1,1,2,2,2
Propithecus coquereli,2,1,1,2,2,3
Microcebus murinus,2,1,1,2,2,2
Carlito syrichta,2,1,2,2,2,2
Aotus nancymaae,3,1,1,2,2,2
Callithrix jacchus,2,1,1,2,1,2
Saimiri boliviensis boliviensis,2,1,1,2,2,3
Cebus capucinus imitator,2,1,1,2,2,2
Nomascus leucogenys,2,1,1,2,2,3
Pongo abelii,2,1,1,2,2,4
Homo sapiens,3,1,1,2,3,3
Gorilla gorilla gorilla,3,1,1,2,2,4
Pan paniscus,2,1,1,2,2,3
Pan troglodytes,2,1,1,2,2,4
Colobus angolensis palliatus,2,1,1,2,2,2
Piliocolobus tephrosceles,2,1,1,2,2,3
Rhinopithecus bieti,2,1,1,2,2,3
Rhinopithecus roxellana,2,1,1,2,2,3
Mandrillus leucophaeus,2,1,1,2,2,2
Cercocebus atys,2,1,1,2,2,1
Papio anubis,2,1,1,2,2,2
Chlorocebus sabaeus,2,1,1,2,2,2
Macaca nemestrina,2,1,1,2,2,1
Macaca mulatta,2,1,1,2,2,1
Macaca fascicularis,2,1,1,2,2,2
Manis javanica,2,1,1,2,2,2
Erinaceus europaeus,2,1,1,2,2,2
Condylura cristata,2,1,1,2,1,2
Sorex araneus,2,1,1,2,2,1
Ceratotherium simum,2,1,1,2,2,1
Equus asinus,2,1,1,2,2,2
Equus caballus,2,1,1,2,2,2
Equus przewalskii,2,1,1,2,2,3
Rousettus aegyptiacus,2,1,1,2,2,2
Pteropus vampyrus,2,1,1,3,2,2
Pteropus alecto,2,1,1,2,2,2
Rhinolophus sinicus,2,1,1,2,2,2
Hipposideros armiger,1,1,1,2,2,2
Eptesicus fuscus,2,1,1,2,2,2
Miniopterus natalensis,2,1,1,2,2,2
Myotis lucifugus,2,1,1,2,2,2
Myotis brandtii,2,1,1,2,2,2
Myotis davidii,2,1,1,2,2,3
Felis catus,2,1,1,2,2,2
Acinonyx jubatus,2,1,1,2,2,2
Panthera pardus,2,1,1,2,2,2
Panthera tigris,2,1,1,2,2,2
Canis lupus familiaris,2,1,2,2,2,2
Odobenus rosmarus divergens,2,1,1,2,2,3
Ailuropoda melanoleuca,2,1,1,2,2,2
Ursus maritimus,2,1,1,2,2,2
Mustela putorius,2,1,1,2,2,2
Enhydra lutris,2,1,1,2,2,2
Leptonychotes weddellii,1,1,1,3,2,3
Neomonachus schauinslandi,2,1,1,2,2,2
Sus scrofa,2,1,1,2,2,2
Vicugna pacos,2,1,1,2,2,2
Camelus ferus,2,1,1,2,2,2
Camelus dromedarius,2,1,1,2,2,2
Camelus bactrianus,2,1,1,2,2,2
