label;Name;UniProt_AC
125442at7742;ASB14;ASB14
276599at7742;ATP1B1;ATP1B1
91060at7742;AXDND1;AXDND1
164772at7742;SMPDL3A;SMPDL3A
177888at7742;BLK;BLK
413605at7742;ANP32A;ANP32A
